Network,Alpha2code,Region,City,Postal code 
2A02:88D:8101::/48,SA,SA-01,Riyadh,
2A02:88D:8102::/48,SA,SA-01,Riyadh,
2A02:88D:8103::/48,SA,SA-01,Riyadh,
2A02:88D:8104::/48,SA,SA-01,Riyadh,
2A02:88D:8105::/48,SA,SA-01,Riyadh,
2A02:88D:8106::/48,SA,SA-01,Riyadh,
2A02:88D:8107::/48,SA,SA-01,Riyadh,
2A02:88D:8108::/48,SA,SA-01,Riyadh,
2A02:888:152::/48,SA,SA-02,Western,
2A02:888:155::/64,SA,SA-02,Western,
2A02:888:153::/48,SA,SA-02,Western,
2A02:888:154::/48,SA,SA-02,Western,
2A02:888:144::/48,SA,SA-02,Western,
2A02:888:147::/64,SA,SA-02,Western,
2A02:888:145::/48,SA,SA-02,Western,
2A02:888:146::/48,SA,SA-02,Western,
2A02:888:148::/48,SA,SA-02,Western,
2A02:888:151::/64,SA,SA-02,Western,
2A02:888:149::/48,SA,SA-02,Western,
2A02:888:150::/48,SA,SA-02,Western,
2A02:888:140::/48,SA,SA-02,Western,
2A02:888:143::/64,SA,SA-02,Western,
2A02:888:141::/48,SA,SA-02,Western,
2A02:888:142::/48,SA,SA-02,Western,
2A02:88D:230::/48,SA,SA-02,Western,
2A02:88D:23F::/64,SA,SA-02,Western,
2A02:88D:239::/48,SA,SA-02,Western,
2A02:88D:23A::/48,SA,SA-02,Western,
2A02:88D:23B::/48,SA,SA-02,Western,
2A02:88D:23C::/48,SA,SA-02,Western,
2A02:88D:23D::/48,SA,SA-02,Western,
2A02:88D:23E::/48,SA,SA-02,Western,
2A02:88D:231::/48,SA,SA-02,Western,
2A02:88D:232::/48,SA,SA-02,Western,
2A02:88D:233::/48,SA,SA-02,Western,
2A02:88D:234::/48,SA,SA-02,Western,
2A02:88D:235::/48,SA,SA-02,Western,
2A02:88D:236::/48,SA,SA-02,Western,
2A02:88D:237::/48,SA,SA-02,Western,
2A02:88D:238::/48,SA,SA-02,Western,
2A02:88D:210::/48,SA,SA-02,Western,
2A02:88D:21F::/64,SA,SA-02,Western,
2A02:88D:219::/48,SA,SA-02,Western,
2A02:88D:21A::/48,SA,SA-02,Western,
2A02:88D:21B::/48,SA,SA-02,Western,
2A02:88D:21C::/48,SA,SA-02,Western,
2A02:88D:21D::/48,SA,SA-02,Western,
2A02:88D:21E::/48,SA,SA-02,Western,
2A02:88D:211::/48,SA,SA-02,Western,
2A02:88D:212::/48,SA,SA-02,Western,
2A02:88D:213::/48,SA,SA-02,Western,
2A02:88D:214::/48,SA,SA-02,Western,
2A02:88D:215::/48,SA,SA-02,Western,
2A02:88D:216::/48,SA,SA-02,Western,
2A02:88D:217::/48,SA,SA-02,Western,
